,Team,Unnamed: 0,W,L,W/L%,GB,PS/G,PA/G,SRS,Year
980,Northwest Division,0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2020
981,Denver Nuggets*,1,46,27,.630,—,111.3,109.2,2.35,2020
982,Oklahoma City Thunder*,2,44,28,.611,1.5,110.4,108.4,2.33,2020
983,Utah Jazz*,3,44,28,.611,1.5,111.3,108.8,2.52,2020
984,Portland Trail Blazers*,4,35,39,.473,11.5,115.0,116.1,-0.61,2020
985,Minnesota Timberwolves,5,19,45,.297,22.5,113.3,117.5,-4.02,2020
986,Pacific Division,6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2020
987,Los Angeles Lakers*,7,52,19,.732,—,113.4,107.6,6.28,2020
988,Los Angeles Clippers*,8,49,23,.681,3.5,116.3,109.9,6.66,2020
989,Phoenix Suns,9,34,39,.466,19.0,113.6,113.4,0.56,2020
990,Sacramento Kings,10,31,41,.431,21.5,110.1,112.1,-1.59,2020
991,Golden State Warriors,11,15,50,.231,34.0,106.3,115.0,-8.12,2020
992,Southwest Division,12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2020
993,Houston Rockets*,13,44,28,.611,—,117.8,114.8,3.13,2020
994,Dallas Mavericks*,14,43,32,.573,2.5,117.0,112.1,4.87,2020
995,Memphis Grizzlies,15,34,39,.466,10.5,112.6,113.7,-0.91,2020
996,San Antonio Spurs,16,32,39,.451,11.5,114.1,115.2,-0.65,2020
997,New Orleans Pelicans,17,30,42,.417,14.0,115.8,117.1,-0.55,2020
998,Philadelphia 76ers*,0,49,23,.681,—,113.6,108.1,5.28,2021
999,Brooklyn Nets*,1,48,24,.667,1.0,118.6,114.1,4.24,2021
1000,New York Knicks*,2,41,31,.569,8.0,107.0,104.7,2.13,2021
1001,Boston Celtics*,3,36,36,.500,13.0,112.6,111.2,1.32,2021
1002,Toronto Raptors,4,27,45,.375,22.0,111.3,111.7,-0.54,2021
1003,Central Division,5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2021
1004,Milwaukee Bucks*,6,46,26,.639,—,120.1,114.2,5.57,2021
1005,Indiana Pacers,7,34,38,.472,12.0,115.3,115.3,-0.13,2021
1006,Chicago Bulls,8,31,41,.431,15.0,110.7,111.6,-0.94,2021
1007,Cleveland Cavaliers,9,22,50,.306,24.0,103.8,112.3,-8.19,2021
1008,Detroit Pistons,10,20,52,.278,26.0,106.6,111.1,-4.38,2021
1009,Southeast Division,11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2021
1010,Atlanta Hawks*,12,41,31,.569,—,113.7,111.4,2.14,2021
1011,Miami Heat*,13,40,32,.556,1.0,108.1,108.0,-0.06,2021
1012,Washington Wizards*,14,34,38,.472,7.0,116.6,118.5,-1.85,2021
1013,Charlotte Hornets,15,33,39,.458,8.0,109.5,111.4,-1.94,2021
1014,Orlando Magic,16,21,51,.292,20.0,104.0,113.3,-9.02,2021
1015,Northwest Division,0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2021
1016,Utah Jazz*,1,52,20,.722,—,116.4,107.2,8.97,2021
1017,Denver Nuggets*,2,47,25,.653,5.0,115.1,110.1,4.82,2021
1018,Portland Trail Blazers*,3,42,30,.583,10.0,116.1,114.3,1.81,2021
1019,Minnesota Timberwolves,4,23,49,.319,29.0,112.1,117.7,-5.25,2021
1020,Oklahoma City Thunder,5,22,50,.306,30.0,105.0,115.6,-10.13,2021
1021,Pacific Division,6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2021
1022,Phoenix Suns*,7,51,21,.708,—,115.3,109.5,5.67,2021
1023,Los Angeles Clippers*,8,47,25,.653,4.0,114.0,107.8,6.02,2021
1024,Los Angeles Lakers*,9,42,30,.583,9.0,109.5,106.8,2.77,2021
1025,Golden State Warriors,10,39,33,.542,12.0,113.7,112.7,1.10,2021
1026,Sacramento Kings,11,31,41,.431,20.0,113.7,117.4,-3.45,2021
1027,Southwest Division,12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2021
1028,Dallas Mavericks*,13,42,30,.583,—,112.4,110.2,2.26,2021
1029,Memphis Grizzlies*,14,38,34,.528,4.0,113.3,112.3,1.07,2021
1030,San Antonio Spurs,15,33,39,.458,9.0,111.1,112.8,-1.58,2021
1031,New Orleans Pelicans,16,31,41,.431,11.0,114.6,114.9,-0.20,2021
1032,Houston Rockets,17,17,55,.236,25.0,108.8,116.7,-7.50,2021
